Strand Name1, Strand Name2, Start Time(YYYY:MM : DD),Stop Time(YYYY:MM : DD),Duration(sec)
YH1->FX0205->XG9, XG9->FX0911->YH2,2017:05:07:16:00:13, 2017:05:07:16:02:14,121
YH1->FX0811->XG9, XG9->FX0911->YH2,2017:05:07:16:02:14, 2017:05:07:16:05:45,211
YH1->FX0304->XG9, XG9->FX0911->YH2,2017:05:07:16:05:45, 2017:05:07:16:06:22,37
YH1->FX0204->XG9, XG9->FX0403->YH2,2017:05:07:16:06:36, 2017:05:07:16:07:55,79
YH1->FX0810->XG9, XG9->FX0910->YH2,2017:05:07:16:10:44, 2017:05:07:16:14:35,231
YH1->FX0303->XG9, XG9->FX0910->YH2,2017:05:07:16:14:35, 2017:05:07:16:15:25,50
YH1->FX0203->XG9, XG9->FX0402->YH2,2017:05:07:16:16:27, 2017:05:07:16:17:18,51
YH1->FX0809->XG9, XG9->FX0909->YH2,2017:05:07:16:19:11, 2017:05:07:16:23:23,252
YH1->FX0302->XG9, XG9->FX0909->YH2,2017:05:07:16:23:23, 2017:05:07:16:24:27,64
YH1->FX0202->XG9, XG9->FX0401->YH2,2017:05:07:16:25:24, 2017:05:07:16:26:39,75
YH1->FX0808->XG9, XG9->FX0908->YH2,2017:05:07:16:27:54, 2017:05:07:16:32:07,253
YH1->FX0907->XG9, XG9->FX0908->YH2,2017:05:07:16:32:07, 2017:05:07:16:33:28,81
YH1->FX0201->XG9, XG9->FX0412->YH2,2017:05:07:16:34:39, 2017:05:07:16:35:43,64
YH1->FX0807->XG9, XG9->FX0907->YH2,2017:05:07:16:37:11, 2017:05:07:16:40:47,216
YH1->FX0906->XG9, XG9->FX0907->YH2,2017:05:07:16:40:47, 2017:05:07:16:42:28,101
YH1->FX0806->XG9, XG9->FX0410->YH2,2017:05:07:16:46:28, 2017:05:07:16:49:23,175
YH1->FX0905->XG9, XG9->FX0410->YH2,2017:05:07:16:49:23, 2017:05:07:16:52:48,205
YH1->FX0310->XG9, XG9->FX0409->YH2,2017:05:07:16:55:40, 2017:05:07:17:00:50,310
YH1->FX0904->XG9, XG9->FX0409->YH2,2017:05:07:17:00:50, 2017:05:07:17:01:14,24
